,a01,stime_h_xxb,stime_m_xxb,xxb_mid,xxb_01,xxb_02,xxb_03,xxb_04,xxb_05,xxb_06,xxb_07,xxb_08,xxb_09,xxb_10,xxb_11,xxb_12,xxb_13,xxb_14,xxb_15a,xxb_15b,xxb_15c,xxb_16,xxb_17a,xxb_17b,xxb_17c,xxb_18a,xxb_18b,xxb_18c,etime_h_xxb,etime_m_xxb,flag,hhid2,hh_type,round
577,559.0,7.0,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,,559,BIHS households,Round 3 (2018-19)
578,560.0,7.0,48.0,2,21.0,13.0,Completed class VII,Completed class VII,Completed class VIII,Completed class VIII,16.0,Never attended school,Never attended school,Yes,Working own farm (crop),Yes,3.0,3.0,30000.0,0.0,0.0,100000.0,0.0,0.0,0.0,Marriage proposals were coming for her,,,7.0,53.0,,560,BIHS households,Round 3 (2018-19)
579,561.0,14.0,31.0,1,23.0,14.0,Never attended school,Never attended school,Never attended school,Never attended school,17.0,Completed class V,Never attended school,Yes,Rickshaw/van pulling,Yes,1.0,3.0,20000.0,20000.0,0.0,200000.0,0.0,0.0,0.0,Marriage proposals were coming for her,Thought the groom was very good and they might not get such,,14.0,35.0,,561,BIHS households,Round 3 (2018-19)
580,562.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,562,BIHS households,Round 3 (2018-19)
581,563.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,563,BIHS households,Round 3 (2018-19)
582,564.0,13.0,15.0,5,25.0,12.0,Completed class IV,Completed class IV,Completed class IV,Completed class IV,17.0,Never attended school,Never attended school,Yes,Sweeper,Yes,0.0,1.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,Marriage proposals were coming for her,,,13.0,20.0,,564,BIHS households,Round 3 (2018-19)
583,565.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,565,BIHS households,Round 3 (2018-19)
584,567.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,567,BIHS households,Round 3 (2018-19)
585,569.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,569,BIHS households,Round 3 (2018-19)
586,570.0,9.0,12.0,8,20.0,13.0,Completed class IX,Completed class IX,Never attended school,Never attended school,17.0,Completed class III,Completed class V,Yes,Small trader (roadside stand or stall),Yes,1.0,3.0,30000.0,0.0,0.0,150000.0,0.0,45000.0,6000.0,Marriage proposals were coming for her,Thought the groom was very good and they might not get such,,9.0,20.0,,570,BIHS households,Round 3 (2018-19)
587,571.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,571,BIHS households,Round 3 (2018-19)
588,572.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,572,BIHS households,Round 3 (2018-19)
589,573.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,573,BIHS households,Round 3 (2018-19)
590,574.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,574,BIHS households,Round 3 (2018-19)
591,575.0,8.0,55.0,4,23.0,14.0,Completed class IX,Completed class IX,Completed class VII,Completed class VII,16.0,BA/BSC Pass/Fazil,Completed class IX,No,,Yes,1.0,2.0,0.0,0.0,50000.0,400000.0,0.0,45000.0,25000.0,Marriage proposals were coming for her,,,9.0,13.0,,575,BIHS households,Round 3 (2018-19)
592,576.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,576,BIHS households,Round 3 (2018-19)
593,577.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,577,BIHS households,Round 3 (2018-19)
594,578.0,8.0,40.0,4,21.0,12.0,Never attended school,Never attended school,Never attended school,Never attended school,16.0,Completed class VIII,Completed class III,Yes,Working own farm (crop),Yes,5.0,1.0,0.0,85000.0,52000.0,150000.0,0.0,0.0,0.0,Thought the groom was very good and they might not get such,Marriage proposals were coming for her,,8.0,45.0,,578,BIHS households,Round 3 (2018-19)
595,579.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,579,BIHS households,Round 3 (2018-19)
596,580.0,9.0,42.0,12,25.0,12.0,Completed class VI,Completed class VI,Completed class IX,Completed class IX,19.0,Completed class V,Never attended school,No,,Yes,1.0,0.0,100000.0,50000.0,Don?t know,Don?t know,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,9.0,48.0,,580,BIHS households,Round 3 (2018-19)
597,581.11,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,581.1.1,BIHS households,Round 3 (2018-19)
598,581.12,8.0,19.0,17,23.0,12.0,Completed class VI,Completed class VI,Completed class VI,Completed class VI,19.0,Never attended school,Never attended school,Yes,Small trader (roadside stand or stall),Yes,2.0,1.0,0.0,48000.0,10000.0,100000.0,0.0,1500.0,0.0,Not applicable; she was married after turning 18,,,8.0,22.0,,581.1.2,BIHS households,Round 3 (2018-19)
599,581.2,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,581.2,BIHS households,Round 3 (2018-19)
600,581.3,8.0,8.0,9,26.0,13.0,Completed class VIII,Completed class VIII,Completed class V,Completed class V,16.0,Completed class III,Never attended school,Yes,Working own farm (crop),Yes,1.0,1.0,0.0,150000.0,8500.0,200000.0,0.0,1200.0,0.0,Not applicable; she was married after turning 18,,,8.0,12.0,,581.3,BIHS households,Round 3 (2018-19)
601,582.1,14.0,2.0,9,26.0,13.0,Completed class VI,Completed class VI,Completed class I,Completed class I,19.0,Completed class V,Completed class II,Yes,Working own farm (crop),Yes,2.0,1.0,50000.0,70000.0,150000.0,100000.0,0.0,1200.0,0.0,Not applicable; she was married after turning 18,,,14.0,17.0,,582.1,BIHS households,Round 3 (2018-19)
602,582.2,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,582.2,BIHS households,Round 3 (2018-19)
603,583.1,7.0,51.0,10,25.0,14.0,HSC/Alim,HSC/Alim,HSC/Alim,HSC/Alim,18.0,Completed class V,Completed class V,Yes,Share cropper/tenant,Yes,2.0,0.0,0.0,200000.0,5000.0,300000.0,0.0,2000.0,0.0,Not applicable; she was married after turning 18,,,7.0,53.0,,583.1,BIHS households,Round 3 (2018-19)
604,583.2,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,583.2,BIHS households,Round 3 (2018-19)
605,584.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,584,BIHS households,Round 3 (2018-19)
606,585.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,585,BIHS households,Round 3 (2018-19)
607,586.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,586,BIHS households,Round 3 (2018-19)
608,587.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,587,BIHS households,Round 3 (2018-19)
609,588.0,8.0,25.0,7,24.0,15.0,Completed class VIII,Completed class VIII,Completed class V,Completed class V,17.0,Completed class V,Completed class IV,Yes,Physically/mentally challenged,Yes,5.0,1.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,The girl herself wanted to marry,,,8.0,31.0,,588,BIHS households,Round 3 (2018-19)
610,589.0,10.0,16.0,4,20.0,13.0,Completed class IX,Completed class IX,Completed class V,Completed class V,17.0,Completed class II,Completed class II,Yes,Rickshaw/van pulling,Yes,2.0,3.0,0.0,0.0,0.0,250000.0,0.0,1500.0,0.0,Marriage proposals were coming for her,,,10.0,22.0,,589,BIHS households,Round 3 (2018-19)
611,589.0,,,8,17.0,12.0,Completed class VII,Completed class VII,Completed class V,Completed class V,15.0,Completed class VIII,Completed class III,Yes,Share cropper/tenant,Yes,1.0,3.0,30000.0,0.0,16000.0,10000.0,0.0,1200.0,0.0,"Economic condition was poor to support her (food, education,",Marriage proposals were coming for her,,,,,589,BIHS households,Round 3 (2018-19)
612,590.0,12.0,53.0,0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,55.0,,590,BIHS households,Round 3 (2018-19)
613,591.0,10.0,6.0,3,25.0,12.0,Completed class VII,Completed class VII,Never attended school,Never attended school,23.0,Completed class V,Never attended school,Yes,Working own farm (crop),Yes,4.0,3.0,50000.0,20000.0,3700.0,150000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,10.0,12.0,,591,BIHS households,Round 3 (2018-19)
614,592.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,592,BIHS households,Round 3 (2018-19)
615,593.0,8.0,54.0,2,23.0,12.0,Never attended school,Never attended school,Completed class II,Completed class II,18.0,Never attended school,Completed class II,Yes,Rickshaw/van pulling,Yes,1.0,2.0,0.0,0.0,0.0,50000.0,0.0,1200.0,0.0,Not applicable; she was married after turning 18,,,8.0,57.0,,593,BIHS households,Round 3 (2018-19)
616,594.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,594,BIHS households,Round 3 (2018-19)
617,595.1,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,595.1,BIHS households,Round 3 (2018-19)
618,595.2,8.0,31.0,3,28.0,13.0,Completed class IX,Completed class IX,HSC/Alim,HSC/Alim,23.0,BA/BSC Pass/Fazil,Completed class V,Yes,Teacher (Non-GoB High school),Yes,4.0,3.0,50000.0,0.0,10000.0,100000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,8.0,40.0,,595.2,BIHS households,Round 3 (2018-19)
619,596.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,596,BIHS households,Round 3 (2018-19)
620,597.1,8.0,31.0,12,29.0,13.0,SSC/ Dakhil,SSC/ Dakhil,HSC/Alim,HSC/Alim,17.0,Completed class V,Completed class V,Yes,Agricultural day labor,Yes,3.0,3.0,0.0,0.0,5000.0,200000.0,0.0,0.0,0.0,"Economic condition was poor to support her (food, education,",,,8.0,40.0,,597.1,BIHS households,Round 3 (2018-19)
621,597.2,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,597.2,BIHS households,Round 3 (2018-19)
622,598.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,598,BIHS households,Round 3 (2018-19)
623,599.1,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,599.1,BIHS households,Round 3 (2018-19)
624,599.2,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,599.2,BIHS households,Round 3 (2018-19)
625,600.0,8.0,26.0,4,30.0,12.0,Completed class IX,Completed class IX,Completed class IX,Completed class IX,15.0,HSC/Alim,BA/BSC Pass/Fazil,Yes,Medium trader (shop or small store),Yes,1.0,0.0,20000.0,30000.0,6000.0,150000.0,0.0,0.0,0.0,Thought the groom was very good and they might not get such,,,8.0,29.0,,600,BIHS households,Round 3 (2018-19)
626,602.0,9.0,38.0,4,22.0,15.0,Completed class VI,Completed class VI,Completed class VI,Completed class VI,17.0,Never attended school,Never attended school,Yes,Working own farm (crop),Yes,2.0,3.0,30000.0,0.0,10000.0,150000.0,0.0,0.0,0.0,Marriage proposals were coming for her,,,9.0,43.0,,602,BIHS households,Round 3 (2018-19)
627,603.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,603,BIHS households,Round 3 (2018-19)
628,604.0,8.0,26.0,3,26.0,13.0,MA/MSC and above Kamil,HSC/Alim,MA/MSC and above Kamil,MA/MSC and above Kamil,24.0,Completed class VIII,Never attended school,Yes,Government/ parastatal,Yes,0.0,3.0,0.0,30000.0,50000.0,300000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,8.0,30.0,,604,BIHS households,Round 3 (2018-19)
629,605.2,8.0,25.0,2,30.0,13.0,Completed class IX,Completed class IX,HSC/Alim,HSC/Alim,15.0,SSC/ Dakhil,Completed class VI,Yes,Government/ parastatal,Yes,0.0,2.0,0.0,20000.0,40000.0,100000.0,0.0,2000.0,0.0,Marriage proposals were coming for her,,,8.0,27.0,,605.2,BIHS households,Round 3 (2018-19)
630,606.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,606,BIHS households,Round 3 (2018-19)
631,607.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,607,BIHS households,Round 3 (2018-19)
632,608.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,608,BIHS households,Round 3 (2018-19)
633,609.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,609,BIHS households,Round 3 (2018-19)
634,610.0,8.0,33.0,7,25.0,12.0,Completed class IX,Completed class IX,HSC/Alim,HSC/Alim,18.0,Completed class VI,Never attended school,Yes,Medium trader (shop or small store),Yes,2.0,0.0,0.0,0.0,7000.0,800000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,8.0,40.0,,610,BIHS households,Round 3 (2018-19)
635,611.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,611,BIHS households,Round 3 (2018-19)
636,612.0,8.0,37.0,3,22.0,13.0,Completed class VIII,Completed class VIII,Completed class V,Completed class V,16.0,Completed class V,Completed class VI,Yes,Service (private sector ),Yes,1.0,1.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,The girl herself wanted to marry,,,8.0,43.0,,612,BIHS households,Round 3 (2018-19)
637,613.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,613,BIHS households,Round 3 (2018-19)
638,614.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,614,BIHS households,Round 3 (2018-19)
639,615.0,8.0,19.0,7,17.0,13.0,Completed class VIII,Completed class VIII,Completed class IV,Completed class IV,15.0,Never attended school,Completed class V,Yes,Physically/mentally challenged,Yes,5.0,1.0,0.0,0.0,5000.0,200000.0,0.0,0.0,0.0,"Economic condition was poor to support her (food, education,","If the girl gets more education, it will be difficult to fin","If the girl gets more education, then parents might have to",8.0,30.0,,615,BIHS households,Round 3 (2018-19)
640,616.0,8.0,57.0,7,21.0,14.0,Completed class V,Completed class V,Completed class VII,Completed class VII,16.0,Completed class V,Never attended school,No,,Yes,4.0,2.0,0.0,0.0,2000.0,100000.0,0.0,1200.0,0.0,"Economic condition was poor to support her (food, education,",,,8.0,59.0,,616,BIHS households,Round 3 (2018-19)
641,617.0,9.0,26.0,1,22.0,12.0,Completed class IX,Completed class IX,HSC/Alim,HSC/Alim,16.0,Completed class VII,Completed class IX,Yes,Share cropper/tenant,Yes,4.0,0.0,0.0,40000.0,115500.0,100000.0,0.0,90000.0,0.0,Marriage proposals were coming for her,,,9.0,28.0,,617,BIHS households,Round 3 (2018-19)
642,618.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,618,BIHS households,Round 3 (2018-19)
643,619.0,9.0,6.0,3,22.0,12.0,Completed class IX,Completed class IX,Completed class IX,Completed class IX,16.0,Completed class IX,Completed class VIII,Yes,Share cropper/tenant,Yes,0.0,2.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,Out of fear of harassment by boys/men,Marriage proposals were coming for her,Pressure from relatives,9.0,10.0,,619,BIHS households,Round 3 (2018-19)
644,620.0,8.0,15.0,4,35.0,15.0,Completed class VIII,Completed class VIII,Completed class VII,Completed class VII,23.0,Completed class III,Never attended school,Yes,Working own farm (crop),Yes,5.0,2.0,0.0,0.0,40000.0,120000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,8.0,20.0,,620,BIHS households,Round 3 (2018-19)
645,621.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,621,BIHS households,Round 3 (2018-19)
646,622.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,622,BIHS households,Round 3 (2018-19)
647,623.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,623,BIHS households,Round 3 (2018-19)
648,624.0,15.0,7.0,1,23.0,13.0,Completed class VIII,Completed class VIII,Completed class IX,Completed class IX,19.0,Completed class V,Completed class IV,Yes,Other wage labor (specify),Yes,1.0,2.0,0.0,440000.0,0.0,300000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,15.0,11.0,,624,BIHS households,Round 3 (2018-19)
649,625.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,625,BIHS households,Round 3 (2018-19)
650,626.1,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,626.1,BIHS households,Round 3 (2018-19)
651,626.2,9.0,11.0,6,28.0,13.0,Completed class V,Completed class V,Never attended school,Completed class IX,22.0,Never attended school,Never attended school,No,,Yes,4.0,5.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,9.0,16.0,,626.2,BIHS households,Round 3 (2018-19)
652,627.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,627,BIHS households,Round 3 (2018-19)
653,628.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,628,BIHS households,Round 3 (2018-19)
654,629.0,9.0,38.0,6,26.0,14.0,Completed class VIII,Completed class VIII,Completed class VIII,Completed class VIII,18.0,Completed class V,Completed class IV,Yes,Service (private sector ),Yes,2.0,4.0,100000.0,0.0,0.0,400000.0,0.0,2000.0,0.0,Not applicable; she was married after turning 18,,,9.0,41.0,,629,BIHS households,Round 3 (2018-19)
655,630.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,630,BIHS households,Round 3 (2018-19)
656,631.0,8.0,40.0,4,24.0,14.0,Completed class V,Completed class V,Completed class III,Completed class III,20.0,Completed class II,Completed class III,Yes,Working own farm (crop),Yes,0.0,1.0,0.0,0.0,0.0,150000.0,0.0,1200.0,0.0,Not applicable; she was married after turning 18,,,8.0,44.0,,631,BIHS households,Round 3 (2018-19)
657,632.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,632,BIHS households,Round 3 (2018-19)
658,633.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,633,BIHS households,Round 3 (2018-19)
659,634.0,13.0,20.0,4,24.0,12.0,Completed class IX,Completed class IX,HSC/Alim,BA/BSC Pass/Fazil,18.0,MA/MSC and above Kamil,Completed class VIII,Yes,Rural physician,Yes,2.0,5.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,13.0,25.0,,634,BIHS households,Round 3 (2018-19)
660,635.1,12.0,0.0,3,28.0,13.0,Completed class IX,Completed class IX,Completed class V,Completed class V,18.0,Completed class VI,Never attended school,Yes,Share cropper/tenant,Yes,5.0,1.0,50000.0,10000.0,1500.0,200000.0,50000.0,0.0,0.0,Not applicable; she was married after turning 18,,,12.0,17.0,,635.1,BIHS households,Round 3 (2018-19)
661,635.2,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,635.2,BIHS households,Round 3 (2018-19)
662,636.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,636,BIHS households,Round 3 (2018-19)
663,637.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,637,BIHS households,Round 3 (2018-19)
664,638.0,10.0,12.0,9,38.0,12.0,Completed class VIII,Completed class VIII,SSC/ Dakhil,SSC/ Dakhil,18.0,Completed class V,Never attended school,Yes,Working own farm (crop),Yes,1.0,2.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,10.0,17.0,,638,BIHS households,Round 3 (2018-19)
665,639.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,639,BIHS households,Round 3 (2018-19)
666,640.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,640,BIHS households,Round 3 (2018-19)
667,641.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,641,BIHS households,Round 3 (2018-19)
668,642.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,642,BIHS households,Round 3 (2018-19)
669,643.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,643,BIHS households,Round 3 (2018-19)
670,644.0,8.0,6.0,8,25.0,13.0,Completed class IX,Completed class IX,HSC/Alim,HSC/Alim,15.0,Never attended school,Never attended school,Yes,Factory worker,Yes,1.0,1.0,70000.0,0.0,0.0,120000.0,0.0,50000.0,0.0,Thought the groom was very good and they might not get such,,,8.0,12.0,,644,BIHS households,Round 3 (2018-19)
671,645.0,8.0,31.0,7,24.0,14.0,Completed class VIII,Completed class VIII,Never attended school,Never attended school,17.0,BA/BSC Honours/Fazil,Completed class VI,Yes,Working own farm (crop),Yes,3.0,1.0,0.0,0.0,7500.0,120000.0,2000.0,0.0,0.0,Pressure from relatives,,,8.0,35.0,,645,BIHS households,Round 3 (2018-19)
672,646.0,8.0,6.0,5,26.0,14.0,HSC/Alim,SSC/ Dakhil,HSC/Alim,HSC/Alim,22.0,Completed class IX,Completed class V,No,,Yes,2.0,3.0,0.0,0.0,0.0,500000.0,0.0,250000.0,0.0,Not applicable; she was married after turning 18,,,8.0,10.0,,646,BIHS households,Round 3 (2018-19)
673,648.0,12.0,10.0,7,25.0,12.0,HSC/Alim,HSC/Alim,Completed class IX,Completed class IX,18.0,Completed class IX,SSC/ Dakhil,Yes,Share cropper/tenant,Yes,4.0,2.0,70000.0,50000.0,8000.0,250000.0,0.0,2000.0,0.0,Not applicable; she was married after turning 18,,,12.0,13.0,,648,BIHS households,Round 3 (2018-19)
674,650.0,8.0,36.0,1,25.0,14.0,Completed class V,Completed class V,Completed class V,Completed class V,16.0,Never attended school,Completed class V,Yes,Working own farm (crop),Yes,6.0,2.0,0.0,0.0,50200.0,120000.0,0.0,0.0,0.0,Marriage proposals were coming for her,Thought the groom was very good and they might not get such,,8.0,42.0,,650,BIHS households,Round 3 (2018-19)
675,651.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,651,BIHS households,Round 3 (2018-19)
676,652.0,13.0,11.0,2,26.0,12.0,Completed class VI,Completed class VI,Completed class VIII,Completed class VIII,17.0,Never attended school,Never attended school,Yes,Working own farm (crop),No,3.0,3.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,"If the girl gets more education, then parents might have to",Thought the groom was very good and they might not get such,,13.0,15.0,,652,BIHS households,Round 3 (2018-19)
677,653.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,653,BIHS households,Round 3 (2018-19)
678,654.1,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,654.1,BIHS households,Round 3 (2018-19)
679,654.2,13.0,1.0,3,25.0,13.0,Completed class IX,Completed class IX,Completed class II,Completed class II,15.0,Completed class V,Completed class III,Yes,Working own farm (crop),Yes,1.0,0.0,50000.0,20000.0,7600.0,200000.0,0.0,200000.0,0.0,Thought the groom was very good and they might not get such,,,0.0,,,654.2,BIHS households,Round 3 (2018-19)
680,655.1,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,655.1,BIHS households,Round 3 (2018-19)
681,655.2,8.0,30.0,3,22.0,12.0,Completed class IV,Completed class IV,Completed class II,Completed class II,16.0,Completed class II,Never attended school,Yes,Working own farm (crop),Yes,1.0,3.0,20000.0,0.0,3500.0,70000.0,0.0,0.0,0.0,Marriage proposals were coming for her,"If the girl gets more education, then parents might have to",,8.0,40.0,,655.2,BIHS households,Round 3 (2018-19)
682,656.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,656,BIHS households,Round 3 (2018-19)
683,657.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,657,BIHS households,Round 3 (2018-19)
684,658.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,658,BIHS households,Round 3 (2018-19)
685,659.0,14.0,5.0,3,22.0,13.0,Completed class V,Completed class V,Completed class III,Completed class III,17.0,Never attended school,Never attended school,Yes,Working own farm (crop),Yes,4.0,2.0,30000.0,0.0,700.0,150000.0,0.0,0.0,0.0,"Economic condition was poor to support her (food, education,",,,14.0,8.0,,659,BIHS households,Round 3 (2018-19)
686,660.1,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,660.1,BIHS households,Round 3 (2018-19)
687,660.2,11.0,20.0,7,22.0,12.0,Completed class IX,Completed class IX,Completed class VIII,Completed class VIII,16.0,Completed class V,Completed class V,Yes,Share cropper/tenant,Yes,2.0,1.0,0.0,0.0,3000.0,150000.0,0.0,0.0,0.0,Marriage proposals were coming for her,,,11.0,25.0,,660.2,BIHS households,Round 3 (2018-19)
688,661.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,661,BIHS households,Round 3 (2018-19)
689,662.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,662,BIHS households,Round 3 (2018-19)
690,663.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,663,BIHS households,Round 3 (2018-19)
691,664.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,664,BIHS households,Round 3 (2018-19)
692,665.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,665,BIHS households,Round 3 (2018-19)
693,666.1,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,666.1,BIHS households,Round 3 (2018-19)
694,666.2,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,666.2,BIHS households,Round 3 (2018-19)
695,667.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,667,BIHS households,Round 3 (2018-19)
696,668.0,8.0,29.0,6,18.0,13.0,Completed class VIII,Completed class VIII,Completed class IV,Completed class IV,15.0,Never attended school,Completed class VI,Yes,Small trader (roadside stand or stall),Yes,1.0,2.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,The girl herself wanted to marry,,,8.0,32.0,,668,BIHS households,Round 3 (2018-19)
697,669.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,669,BIHS households,Round 3 (2018-19)
698,670.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,670,BIHS households,Round 3 (2018-19)
699,671.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,671,BIHS households,Round 3 (2018-19)
700,672.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,672,BIHS households,Round 3 (2018-19)
701,673.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,673,BIHS households,Round 3 (2018-19)
702,674.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,674,BIHS households,Round 3 (2018-19)
703,675.0,10.0,16.0,7,25.0,14.0,Completed class VII,Completed class VII,Never attended school,Never attended school,17.0,Never attended school,Never attended school,Yes,Share cropper/tenant,Yes,3.0,3.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,The girl herself wanted to marry,,,10.0,20.0,,675,BIHS households,Round 3 (2018-19)
704,676.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,676,BIHS households,Round 3 (2018-19)
705,677.1,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,677.1,BIHS households,Round 3 (2018-19)
706,677.2,14.0,16.0,3,26.0,12.0,Completed class VIII,Completed class VIII,Completed class VII,Completed class VII,17.0,Completed class II,Completed class II,Yes,Working own farm (crop),Yes,4.0,4.0,20000.0,60000.0,7000.0,200000.0,0.0,0.0,0.0,Thought the groom was very good and they might not get such,,,14.0,20.0,,677.2,BIHS households,Round 3 (2018-19)
